category,mean_prop,count
action_words,0.1601538397802033,16
food_drink,0.0973804573337113,10
descriptive_words,0.08948737042294957,9
household,0.07717540245815023,8
animals,0.0686131366717623,7
outside,0.05205948890670882,5
games_routines,0.03929459460914228,4
furniture_rooms,0.04599415041470497,4
clothing,0.04490180077094575,4
people,0.044527023082078,4
pronouns,0.042490044862652177,4
body_parts,0.0421018984722112,4
toys,0.02804446629185843,3
locations,0.0354816761178411,3
places,0.0310891576411412,3
time_words,0.019480000045273897,2
helping_verbs,0.01804877730671612,2
quantifiers,0.024876436823324577,2
sounds,0.02386829958028499,2
vehicles,0.02224097179248784,2
question_words,0.01330436793885532,1
connecting_words,0.010572232533300445,1
